Which of the following does NOT help you sleep?,A COLD SODA
What is the French word for ‘arm”?,BRAS
"Do,Re,Mi,Fa,So,La,Ti,Do are examples of what?",SOLFEGE SYLLABLES
Which of the following are NOT vertebrates?,MOLLUSKS
"What number comes next 5,6,7,8,__?",9
Which kind of disaster are you likely to find in the Pacific Northwest?,VOLCANO
"The trumpet,trombone and french horn are in which family of musical instruments?",wind
What is the French word for “drink”?,BOIRE
Which of the following words means “in spite of”?,THOUGH
Who served as a guide and interpreter for the Lewis and Clark expedition?,SACAGAWEA
How many vowels are in the word “penny”?,2 *CORRECT*
Which of these terms describes the left of center stage as seen by the audience?,STAGE RIGHT
What kind of art technique uses the end of a burned stick?,CHARCOAL
Which of the following is a book by Shel Silverstein?,“THE GIVING TREE”
What do we call a rabbit’s home?,WARREN
What kind of disaster is a volcano?,GEOLOGICAL
A python is a member of which family?,REPTILE
What is the largest city in India?,MUMBAI
Near what continent would you find the Gulf of Oman?,ASIA
Which dinosaur has large bony plates on its back?,STEGOSAURUS
Mount Everest is located on which continent?,ASIA
What is a story with animals that act like humans that teaches a moral or lesson called?,FABLE
Animals that have a gas bladder are often found in what environment?,AQUATIC
Which of the following is a therapod?,DEINONYCHUS
How many state names begin with the letter W?,4
Which is a fairy tale collected by the Brothers Grimm?,“RAPUNZEL”
“As sharp as a tack” is an example of what type of figure of speech?,SIMILE
Saturn is most famous for which feature?,RINGS
In what habitat would you find a shark?,OCEAN
The country of Mali gained independence from what European colonial power in 1960?,FRANCE
What is the root word of the word “unending”?,END
“7243+0=7243” is an example of which property of addition?,IDENTITY
What is the thin membrane inside the ear that helps you hear?,EARDRUM
What’s a 7 letter word that means “a place where a person cooks”?,KITCHEN
A decorated fountain would emphasize what element of art?,FORM
Which of the following is NOT a definition for the word “case”?,DISCUSSION
"In the C major scale, C to D is an example of what?",A WHOLE STEP
What is the French word for “11”?,ONZE
Which ship was NOT part of Christopher Columbus’ fleet?,PRIMA
Who invented the airplane?,WRIGHT BROTHERS
Which of the following is not considered an art movement?,FINGERPAINTS
"“Proud Percival pranced precariously across the prickly prairie.” In that sentence, how many words are examples of alliteration?",6
What is the largest city in Mozambique?,HARARE
What is the French word for “thin”?,MAIGRE
Which of these is a long-vowel word?,TIE
Near what continent would you find Yellow Sea?,ASIA
Which inventor did NOT work on the incandescent light bulb?,ALEXANDER BELL
What river did George Washington cross during the Revolutionary War?,DELAWARE
What is the opposite of the word “fresh”?,STALE
What is the name for a crack in a volcano from which lava escapes?,FISSURE
An amendment to the U.S. Constitution must be ratified by what fraction of the states?,3/4 (three quarters)
How many consonants are in the word “constitution”?,7
How many syllables are in the word “amphibian”?,4
An attempt to predict the weather is known as what?,FORECAST
In what state is the Lincoln Home National Historic Site?,ILLINOIS
What gymnastics move would make you flip 360 backwards?,SOMERSAULT
What is the belt of low pressure along the equator called?,DOLDRUMS
What do you call the cloud of vapor that surrounds the solid body of a comet?,COMA
How many vowels are in the word “heavenly”?,3
Which of the following colonies won its independence from France in the mid-20th century?,MADAGASCAR
What’s the best drink for your body?,WATER
What does a botanist study?,PLANTS
Which one of the following states is in the top ten of fisheries?,ALASKA
What is the prefix of the word “prepaid”?,PRE
What do we call the currency of Japan?,YEN
Which of these is not a healthful choice that improves physical performance?,CHOCOLATE
What U.S. city is home to the Metropolitan Museum of Art?,NEW YORK CITY
"Which President was assassinated on November 22,1963?",JOHN F.KENNEDY
When did World War I end?,1918
"Which term describes the preservation,protection,and management of natural ecosystems and resources?",CONSERVATION
Which of the following is a sample of a long vowel sound?,TOE
What U.S. city has the Museum of Modern Art(MOMA)?,NEW YORK
"Under the Dewey Decimal System,which of the following topics would you find listed under numbers 000-099?",BIBLIOGRAPHIES
Which of the following is part of the nervous system?,NEURON
"What do you call a brief reference to a person,place,thing,event,or idea in history or literature?",ALLUSION
What is the quickest way to get seeds out of dormancy?,WATER
What was another nickname given to the trains along the Transcontinental Railroad?,IRON HORSES
In what habitat would you find a heron?,WETLANDS
Horses’ hooves are made up of the same substance as what part of your body?,FINGERNAILS
"Under the Dewey Decimal System,which of the following topics would NOT be found listed under numbers 000-099?",TECHNOLOGY
What’s a 9 letter word that means “something that must be done”?,NECESSARY
Galileo discovered how many moons of Jupiter?,4
Which of the following is NOT a proper contraction?,WILLN’T
Which of the following states is in the Deep South?,GEORGIA
"Who came up with the idea of Daylight Savings time,and was instrumental in charting the Gulf Stream?",BENJAMIN FRANKLIN
Michelle is going on summer break.She has approximately 3 months until she needs to go back to school.About how many days is that?,90
Which of the following is NOT part of the 5th amendment?,HABEAS CORPUS
Which is not a layer of the Earth’s atmosphere?,THERMAL SPHERE
What is the Spanish word for “angry”?,ENOJADO
What is the Spanish word for “19”?,DIECINUEVE
What is Washington D.C.?,CITY
Which of these words is spelled correctly?,REFINERY
What is the name of the largest bone in your body?,FEMUR
"Which archetype aids the hero in a play,but doesn’t start any action on his own?",SIDEKICK
What city is the capital of Louisiana?,BATON ROUGE
"Of the following major scales,which does NOT require sharp or flat notes?",THE C MAJOR SCALE
"If a triangle has an area of 42 square inches and a base of 6 inches,what is its height?",14
What Jewish holiday is the Day of Atonement?,YOM KIPPUR
Which word is an antonym for “cold”?,HOT
What is the French word for “numbers”?,NOMBRES
Which word is a synonym for “lifted”?,HOISTED
What is the Spanish word for “cute”?,LINDO
"In terms of land area,what is the smallest U.S. state?",RHODE ISLAND
Which of the following words is a proper noun?,CYNTHIA
What is the capital of Canada?,OTTAWA
Joseph went on a trip to see Everglades National Park.To what state did he go?,FLORIDA
What is the style Pablo Picasso often used that uses straight geometrical shapes to create images?,CUBISM
Great Salt Lake is located in what U.S. state?,UTAH
What is the largest city in Venezuela?,CARACAS
What artist was famous for his “splattered paint” pieces?,JACKSON POLLOCK
Which is not one of the Great Lakes?,LAKE ITASCA
"Of the following words,which shows the proper breakdown of the syllables in the word “teacher”?",TEACH-ER
The “Mona Lisa” is an example of what kind of art technique?,OIL PAINTING
Which of these is not part of a direct observation?,DREAMING
Who wrote “Gulliver’s Travels”?,JONATHAN SWIFT
Which of the following words means “not tight”?,LOOSE
What do we call the region of darkness that appears when light is blocked?,SHADOW
"In Greek mythology,which goddess was the goddess of love and beauty?",APHRODITE
What two colors are most commonly used to create Op art designs?,BLACK AND WHITE
What do we call a body of water that connects two larger bodies of water?,CHANNEL
What is the middle region of an insect called?,THORAX
Which of these is NOT a wheel?,DELTOID
Which of the following is NOT surrounded by water on at least two sides?,BAY
Which term is NOT used in hockey?,PITCH
How many consonants are in the word “principal”?,6
Under the Articles of Confederation–the precursor to the Constitution–each state got how many votes?,1
"What is a friend,especially in a time of war,called?",ALLY
What’s a 9 letter word that means “filled with astonishment”?,WONDERFUL
How many cups are in 5 and a half gallons?,88 *CORRECT*
Who discovered that electricity could be created by moving a magnet through a wire coil?,MICHAEL FARADAY
How many vowels are in the word “shy”?,1
What type of rock is formed when layers of loose materials are compacted?,SEDIMENTARY
What would you use to determine the temperature?,THERMOMETER
What state’s nickname is “The Golden State”?,CALIFORNIA
Which document was first signed by John Hancock?,DECLARATION OF INDEPENDENCE
How many consonants are in the word “pictures”?,5
The imaginary line running through the center of the earth is called what?,AXIS
The bench press is an example of what kind of exercise?,ANAEROBIC
What is the Spanish word for “15”?,QUINCE
Which of the following is NOT a book by Lloyd Alexander?,TUCK EVERLASTING
Pumice is formed from what kind of rock?,VOLCANIC
The Siberian Plain borders what ocean?,ARCTIC
What country was divided into 4 different zones of occupation after World War II?,GERMANY
What word is the opposite of the word “right”?,WRONG
Who is the hero of the Legend of Sleepy Hollow?,ICHABOD CRANE
What is the opposite of the word “advance”?,RETREAT
"In Greek mythology, which god was the ruler of the sea?",POSEIDON
What do we call a transfer of heat through moving liquids or gases?,CONVECTION
Concentric circles(circles within circles) are an example of what element of art?,BALANCE
Kiev is the capital of what European country?,UKRAINE
A rectangle has how many sides?,4
"What can be measured by hue,saturation, and brightness?",COLOR
What is the Spanish word for “closed”?,CERRADO
Which of these words is misspelled?,JUGEMENT
What is the answer to a division problem called?,QUOTIENT
What helps stop harmful radiation from reaching Earth?,THE ATMOSPHERE
La Paz is the capital of what South American city?,BOLIVIA
What is defined as the leading edge of a mass of warm air?,WARM FRONT
Which word uses a diphthong?,ALTHOUGH
What state’s nickname is “Old Dominian”?,VIRGINIA
Who was the second President of the United States?,JOHN ADAMS
Which of these items cannot be recycled?,GASOLINE
What is the French word for “run”?,COURIR
"Mako,a fish-lover,is sampling seafood at restaurants along the Eastern seaboard.Because its not on the coast,which of the following states will Mako NOT want to visit?",VERMONT
What is the name of former U.S. president Garfield?,JAMES
Which of these words is misspelled?,UNNLESS
Which city is the capital of Ohio?,COLUMBUS
How many nouns are in the following sentence? “Slow but steady wins the race.”,1
Which of the following is NOT an example of a lever?,AXE
What is the largest desert in Africa?,SAHARA
"If you have two dimes and buy a piece of candy for 7 cents,how much money will you have left over?",13 CENTS
What kind of diet does a shark have?,CARNIVOROUS
What is the French word for “wide”?,LARGE
Which of the following animals uses mimicry as a defense?,SNAKE EEL
"Ancient Rome, before the rise of Julius Caesar,used to practice what form of government?",REPUBLIC
How many vowels are in the word “sleepy”?,3
What terms describe drawing something nearer or closer to you?,ATTRACTION
What is the possibility of rolling a three on a single die?,1 IN 6
Bern is the capital of what European Country?,SWITZERLAND
Which of these is a short-vowel word?,LAP
What kind of energy is associated with motion?,KINETIC
What word means become smaller?,SHRANK
What are the basic building blocks of rocks?,MINERALS
Which region of an insect is composed of 11 sections?,ABDOMEN
Which of the following colonies won its independence from France in the mid-20th Century?,CONGO
A sphere is a three dimensional what?,CIRCLE
What is the part of a fish that helps it to breathe underwater?,GILLS
Which suffix is often added to nouns to make them into adjectives?,#NAME?
Which of the following is a palindrome?,BIB
In what habitat would you find a stoat?,TUNDRA
What word means a glossy coating?,GLAZE
What is used to measure weight?,SCALE
Which of the following equals 9 hundredths?,0.09
"How many days total in the summer months of June,July and August?",92
What word means shortness or “brief”?,BREVITY
Jupiter is best known for what?,ITS SIZE
"On a map,if 1 inch equals 5 miles, how long would 45 miles be on the map?",3/4 FOOT
How many numbers between 2 and 20 are perfect squares?,3
What can the combination of three or more musical notes be considered as?,CHORD
The supplementary angle of a 45 degree angle has how many degrees?,135
Where does a bee collect pollen?,ON ITS LEGS
What do we call the space occupied by the objects in a painting?,POSITIVE SPACE
What country borders Egypt to the south?,SUDAN
"In what habitat would you find zebra,kudu and lions?",SAVANNA
"Over the year,what happens to the stars we call constellations?",THEY STAY THE SAME
California is in what time zone?,PACIFIC
"What is another name for the musical note, D#?",E FLAT
What does “mono” mean?,ONE
How many faces does a dodecahedron have?,12
What important Mali tradition helped us learn about that country’s history?,STORYTELLING
Where would you find the headwaters of the Mississippi River?,MINNESOTA
Which element of art describes the amount of darkness or lightness in a piece?,VALUE
Which Belgian location was the site of the battle which ended Napoleon’s rule of France?,WATERLOO
What do we call an image created in a mirror?,VIRTUAL IMAGE
"In Roman myths,what god split open Jupiter’s forehead so Minerva could be born?",VULCAN
Who is officially honored in India as Father of the Nation?,GANDHI
What is the eighth planet from the sun?,NEPTUNE
What U.S. city is home to the Field Museum of Natural History?,CHICAGO
What unit of measurement is abbreviated “bu.?”,BUSHEL
Osiris is married to which Egyptian Goddess?,ISIS
"According to the U.S. Constitution, the President is part of which of the 3 branches of government?",EXECUTIVE
Which is NOT an area known for having strong storms or multiple natural disasters?,AVALANCHE ALLEY
What is the flow of an electric charge called?,CURRENT
The country of Morocco gained independence from what European colonial power in 1956?,FRANCE
Which country’s flag is commonly referred to as the “Rising Sun”?,JAPAN
Which of the following symbols would you use for an expression?,“
How many vowels are in the word “mystery”?,3
"What is another name for the musical note, F#?",G FLAT
Which season follows winter?,SPRING
What kind of diet does a deer have?,HERBIVOROUS
"How many pronouns are in the following sentence? “My dad,James and I all went out to the carnival on Bridge Street.”",1
Concord is the capital of what U.S. state?,NEW HAMPSHIRE
Which of the following places would be found in Greece?,MT.OLYMPUS
The acute angle of a rhomboid is the obtuse angle’s what?,SUPPLEMENT
Ankara is the capital of what European country?,TURKEY
Alabama is in what time zone?,CENTRAL
Clownfish living in sea anemones are an example of what kind of relationship?,SYMBIOTIC
"Ana,Tim,Liz and Rob are in line for movie tickets.Liz is immediately behind Tim.Ana’s behind both Tim and Liz.Rob’s behind Ana.Who gets in second?",LIZ
Which of the following is a fairytale?,“IRON JOHN”
On what continent would you find Lake Titicaca?,SOUTH AMERICA
Which of the following was part of the Modern Art Movement?,CUBISM
Which of the following numbers is the smallest?,3456 *CORRECT*
What do you call an extended lack of rain in an area?,DROUGHT
What Spanish word is the opposite of “less”?,MAS *CORRECT*
What is most likely to happen during the beginning of a play?,INTRODUCE THE HERO
Russet and Yukon Gold are varieties of what vegetable?,POTATO
What country borders Finland to the west?,SWEDEN
Edward went on a trip to see Glacier Bay National Park.To what state did he go?,ALASKA
Which of the following is NOT a current American territory?,PHILIPPINES
Minimalism and what other art style were among some of the last of the Modern Art movements?,POP ART
Bismarck is the capital of what U.S. state?,NORTH DAKOTA
Which of these is a long-vowel word?,CUE
Which culture invented the plow?,MESOPOTAMIAN
A layered collage emphasizes what element of art?,TEXTURE
Which word rhymes with “hand”?,BAND
Which scientist developed the classification system for living things?,LINNAEUS
What ancient civilization lived in the jungles of Central America?,MAYAS
Which of the following characters would you find in a Brothers Grimm tale?,RUMPELSTILSTIN
Which government act allowed a pioneer to receive a title to a piece of land after working the land for five years?,HOMESTEAD ACT
Who sewed the first American flag?,BETSY ROSS
"What is the process of shedding feathers, fur or skin called?",MOLTING
Which famous American thought of 100 different ways to use the peanut?,GEORGE W.CARVER
Which of the following storms can sport wind gusts of over 300 miles per hour?,TORNADO
"If an angle measures 45 degrees,what kind of angle is it?",ACUTE ANGLE
The harpsichord is the classical ancestor of what musical instrument?,PIANO
Which of these words is spelled correctly?,HARBOR
What state’s nickname is “The Volunteer State”?,TENNESSEE
What is made from sand being cemented together by silica or calcium carbonate?,SANDSTONE
Which one of the following is NOT in the top ten of mineral production?,HAWAII***
On what continent would you find the Aleutian Range?,NORTH AMERICA
Which author wrote “Green Eggs and Ham”?,DR SEUSS
What kind of relationship does fleas have with a cat?,PARASITIC
What term best describes a European regional dance of the common people?,FOLK DANCE
Which of the following colonies won its independence from France in the mid-20th century?,ALGERIA
Scientist believe that long- period comets (which orbit the sun every 200 years)come from which celestial area?,OORT CLOWD
Which dinosaur’s name means “three horned face”?,TRICERATOPS
What state’s nickname is the “mountain state”?,WEST VA
What is the weight limit for boxing middle weight division?,160 LBS
Prague is the capital of what European country?,CZECH REPUBLIC
What type of food is papaya?,FRUIT
What is the capital of Connecticut?,HARTFORD
What do we call the currency of India?,RUPEE
Something that occurs twice a year or once every two years is called what?,BIANNUAL
Which of the following household pets is related to an eagle?,COCKATOO
The tuba is a part of which musical family?,BRASS
Which culture invented the thermometer?,ITALIAN
Which of the following words means “made with a hissing sound?”,SIBILANT
Spain borders which ocean?,ATLANTIC
What unit of measurement is abbreviated “oz.”?,OUNCE
Who broke Baby Bear’s chair and fell asleep in his bed?,GOLDILOCKS
How many U.S. States border the Pacific Ocean?,5
Which of the following is an example of an intermediate color?,BLUE-GREEN
"When you mix equal amounts of blue and yellow paint, what color do you get?",GREEN
What best describes actors working as a group onstage instead of as individuals?,ENSEMBLE
What kind of nutritional substance is broken down by bile?,FAT
Amanda left for school at 8:15am and returned home the same day at 3:15am. How many hours was she gone?,7 HOURS
Which of the following terms is NOT used to describe Op art?,COLOR-CONTRAST ABSTRACTION
Which of the following words is misspelled?,NUPTUAL
Which of the following is an example of a nonliving thing?,LIGHTBULB
Which of the following words uses a long “u” sound?,USE
The Roman middle class was known as what?,EQUESTRIANS
What does the prefix “kilo” mean?,1000
What state’s nickname is “The Bluegrass State”?,KENTUCKY
What U.S. president served the most terms?,FDR
Where is the longest continental mountain chain?,SOUTH AMERICA
About how long does it take heat from the sun to reach Earth’s surface?,8 MINUTES
What is the Spanish word for “Wednesday”?,MIERCOLES
What instrument family would not be found in a marching band?,STRING
What is the first life stage of a Butterfly?,EGG
What is the earliest recorded successful form of manned flight?,HOT AIR BALLOON
What is the spanish word for “between”?,ENTRE
"In norse mythology, who is the chief God and ruler of the Aesir?",ODIN
What is TEXAS?,STATE
What is 11/2 expressed as a percentage?,150%
"On the periodic table, what tells you how many protons are in the nucleus of an atom?",ATOMIC NUMBER
Uruguay borders which ocean?,ATLANTIC
How many nouns are in the following sentence? “Slow and steady wins the race”,ONE
Which of the following scales is used to measure hurricane density?,SAFFIR_SYSTEM
the phrase “scratch the surface” is an example of what figure of speech?,IDIOM
Which of the following is a homophone?,REIGN AND REIGN
Which of the following colonies won its independence from Great Britain in the mid to late 20th century?,UGANDA
"In the food chain, what would an earthworm be considered?",DECOMPOSER
"There are 3 secondary colors, 2 of them are purple and orange. What is the third?",GREEN
"Four of the five senses are hearing, smell, taste, and touch. What is the fith sense?",VISION
What states nickname is “The hossier state?”,INDIANA
The term “sesquintennial” refers to how many years?,150
What is the common pronunciation of the spanish letter “W”?,DOBLE VE
What is the hero’s motivation in “Robin Hood”?,TO HELP THE POOR
Which of the following words is a proper noun?,CYNTHIA
"Including Y, how many consonants are in the modern English alphabet?",21
What is the prefix of the word “tricycle”?,TRI
"New york plays host to the Museum of modern art, the metropolitan museum of Art and what other museum?",THE GUGGENHEIM
